log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	Mbol 	Mu 	Mb 	Mv 	Mr 	Mi 	Mj 	Mh 	Mk 	Flum
	9.00	1.99892211	1.9943	1.6102	3.7058	2.8966	0.744	2.267	1.843	0.979	0.495	0.054	-0.530	-0.998	-1.058	-0.29079826
	9.00	1.99949086	1.9949	1.6735	3.7017	2.8173	0.586	2.178	1.721	0.836	0.342	-0.104	-0.703	-1.182	-1.242	-0.29068660
	9.00	2.00000000	1.9953	1.7326	3.6987	2.7461	0.438	2.085	1.602	0.700	0.199	-0.251	-0.863	-1.349	-1.409	-0.29058670
	9.00	2.00017738	1.9955	1.7523	3.6977	2.7225	0.389	2.055	1.562	0.655	0.152	-0.300	-0.915	-1.404	-1.464	-0.29055191
	9.00	2.00082803	1.9961	1.8231	3.6934	2.6347	0.212	1.963	1.429	0.499	-0.014	-0.474	-1.107	-1.610	-1.670	-0.29042437
	9.00	2.00141168	1.9967	1.8862	3.6895	2.5561	0.054	1.883	1.309	0.358	-0.163	-0.631	-1.280	-1.795	-1.855	-0.29031004
	9.00	2.00203753	1.9972	1.9544	3.6853	2.4712	-0.116	1.796	1.179	0.206	-0.325	-0.800	-1.466	-1.995	-2.056	-0.29018753
	9.00	2.00261831	1.9977	2.0179	3.6829	2.3983	-0.275	1.689	1.045	0.058	-0.479	-0.959	-1.634	-2.171	-2.232	-0.29007392
	9.00	2.00319815	1.9982	2.0828	3.6789	2.3176	-0.437	1.610	0.923	-0.086	-0.632	-1.121	-1.810	-2.360	-2.423	-0.28996058
	9.00	2.00375485	1.9986	2.1466	3.6745	2.2363	-0.596	1.545	0.810	-0.221	-0.777	-1.278	-1.983	-2.546	-2.612	-0.28985182
	9.00	2.00428176	1.9990	2.2085	3.6705	2.1582	-0.751	1.483	0.702	-0.351	-0.917	-1.428	-2.148	-2.724	-2.793	-0.28974896
	9.00	2.00476456	1.9993	2.2666	3.6664	2.0839	-0.896	1.432	0.604	-0.470	-1.047	-1.568	-2.303	-2.894	-2.963	-0.28965476
	9.00	2.00523925	1.9995	2.3262	3.6623	2.0081	-1.045	1.379	0.503	-0.594	-1.180	-1.711	-2.462	-3.067	-3.137	-0.28956220
	9.00	2.00570583	1.9997	2.3838	3.6578	1.9322	-1.190	1.346	0.413	-0.710	-1.308	-1.850	-2.619	-3.240	-3.310	-0.28947127
	9.00	2.00621486	1.9999	2.4421	3.6532	1.8557	-1.335	1.313	0.322	-0.829	-1.439	-1.991	-2.778	-3.414	-3.484	-0.28937212
	9.00	2.00696564	2.0000	2.4922	3.6497	1.7917	-1.460	1.282	0.242	-0.929	-1.550	-2.112	-2.911	-3.560	-3.633	-0.28922599
	9.00	2.00723577	2.0000	2.4250	3.6548	1.8791	-1.293	1.317	0.345	-0.796	-1.401	-1.950	-2.731	-3.361	-3.431	-0.28917345
	9.00	2.00724339	2.0000	2.2735	3.6666	2.0780	-0.914	1.411	0.585	-0.489	-1.065	-1.586	-2.320	-2.910	-2.979	-0.28917196
	9.00	2.00724411	2.0000	2.3514	3.6607	1.9762	-1.109	1.357	0.460	-0.647	-1.238	-1.772	-2.530	-3.141	-3.211	-0.28917182
	9.00	2.00725079	2.0000	2.2162	3.6709	2.1523	-0.771	1.457	0.679	-0.372	-0.938	-1.448	-2.166	-2.741	-2.810	-0.28917052
	9.00	2.00725842	2.0000	2.1565	3.6747	2.2274	-0.621	1.518	0.784	-0.247	-0.803	-1.303	-2.007	-2.570	-2.636	-0.28916904
	9.00	2.00727344	2.0001	2.0980	3.6790	2.3029	-0.475	1.572	0.884	-0.124	-0.670	-1.160	-1.848	-2.397	-2.461	-0.28916612
	9.00	2.00728846	2.0001	2.0400	3.6827	2.3760	-0.330	1.640	0.992	0.003	-0.534	-1.015	-1.690	-2.227	-2.289	-0.28916320
	9.00	2.00733352	2.0001	1.9572	3.6866	2.4744	-0.123	1.765	1.160	0.193	-0.335	-0.808	-1.468	-1.993	-2.053	-0.28915443
	9.00	2.00740123	2.0002	1.8884	3.6912	2.5615	0.049	1.846	1.288	0.345	-0.173	-0.637	-1.279	-1.788	-1.848	-0.28914127
	9.00	2.00750685	2.0003	1.8269	3.6954	2.6398	0.203	1.916	1.400	0.479	-0.029	-0.485	-1.110	-1.605	-1.666	-0.28912073
	9.00	2.00773311	2.0005	1.7542	3.6997	2.7297	0.384	2.015	1.539	0.642	0.143	-0.306	-0.913	-1.396	-1.456	-0.28907675
	9.00	2.00881886	2.0015	1.6886	3.7038	2.8121	0.548	2.107	1.666	0.790	0.302	-0.142	-0.733	-1.205	-1.265	-0.28886584
	9.00	2.01043487	2.0031	1.6217	3.7085	2.8979	0.716	2.195	1.792	0.940	0.462	0.026	-0.548	-1.009	-1.069	-0.28855242
	9.00	2.01213169	2.0047	1.5934	3.7112	2.9376	0.787	2.219	1.839	1.000	0.529	0.097	-0.467	-0.921	-0.981	-0.28822397
	9.00	2.07247591	2.0629	1.6811	3.7136	2.8717	0.567	1.969	1.603	0.772	0.306	-0.123	-0.677	-1.123	-1.183	-0.27695258
	9.00	2.10608864	2.0951	1.7415	3.7144	2.8215	0.416	1.808	1.446	0.618	0.154	-0.274	-0.825	-1.267	-1.327	-0.27100217
	9.00	2.14716458	2.1341	1.8250	3.7131	2.7406	0.208	1.627	1.250	0.414	-0.053	-0.482	-1.039	-1.483	-1.543	-0.26402681
	9.00	2.17079306	2.1561	1.8955	3.7073	2.6515	0.031	1.548	1.125	0.259	-0.221	-0.659	-1.237	-1.696	-1.756	-0.26015451
	9.00	2.17590213	2.1608	1.9407	3.7023	2.5872	-0.082	1.519	1.057	0.166	-0.326	-0.772	-1.369	-1.841	-1.901	-0.25933020
	9.00	2.17738152	2.1621	1.9965	3.6974	2.5118	-0.221	1.468	0.963	0.046	-0.457	-0.910	-1.527	-2.013	-2.073	-0.25909236
	9.00	2.17776084	2.1625	2.0544	3.6925	2.4344	-0.366	1.420	0.865	-0.077	-0.592	-1.054	-1.691	-2.194	-2.254	-0.25903144
	9.00	2.17789459	2.1626	2.1091	3.6888	2.3650	-0.503	1.358	0.764	-0.198	-0.721	-1.191	-1.841	-2.357	-2.419	-0.25900997
	9.00	2.17797565	2.1627	2.1742	3.6842	2.2817	-0.666	1.288	0.646	-0.340	-0.873	-1.353	-2.021	-2.551	-2.614	-0.25899695
	9.00	2.17805004	2.1627	2.2399	3.6796	2.1976	-0.830	1.218	0.528	-0.483	-1.027	-1.517	-2.201	-2.746	-2.811	-0.25898501
	9.00	2.17854285	2.1631	2.2199	3.6813	2.2242	-0.780	1.235	0.562	-0.440	-0.980	-1.467	-2.145	-2.685	-2.750	-0.25890592
	9.00	2.18257213	2.1660	2.2371	3.6802	2.2033	-0.823	1.214	0.529	-0.478	-1.021	-1.510	-2.192	-2.735	-2.800	-0.25826087
	9.00	2.18419099	2.1671	2.3124	3.6749	2.1072	-1.011	1.139	0.397	-0.638	-1.193	-1.696	-2.396	-2.956	-3.024	-0.25800250
	9.00	2.18518901	2.1677	2.3937	3.6684	2.0001	-1.214	1.084	0.268	-0.801	-1.372	-1.890	-2.616	-3.198	-3.268	-0.25784343
	9.00	2.18583608	2.1680	2.4619	3.6631	1.9106	-1.385	1.044	0.161	-0.939	-1.524	-2.054	-2.801	-3.402	-3.471	-0.25774039
	9.00	2.18639565	2.1681	2.5319	3.6569	1.8157	-1.560	1.019	0.059	-1.077	-1.678	-2.223	-2.994	-3.616	-3.685	-0.25765135
	9.00	2.18680024	2.1681	2.5936	3.6516	1.7329	-1.714	0.997	-0.031	-1.199	-1.813	-2.372	-3.162	-3.802	-3.874	-0.25758699
	9.00	2.18713713	2.1680	2.6595	3.6471	1.6491	-1.879	0.957	-0.136	-1.330	-1.958	-2.529	-3.337	-3.994	-4.069	-0.25753343
	9.00	2.18738651	2.1679	2.7248	3.6427	1.5659	-2.042	0.920	-0.238	-1.458	-2.102	-2.685	-3.511	-4.184	-4.262	-0.25749379
	9.00	2.18760228	2.1676	2.7994	3.6372	1.4692	-2.228	0.892	-0.349	-1.602	-2.263	-2.860	-3.711	-4.403	-4.486	-0.25745951
	9.00	2.18779087	2.1673	2.8749	3.6313	1.3704	-2.417	0.881	-0.454	-1.744	-2.423	-3.035	-3.913	-4.627	-4.715	-0.25742955
	9.00	2.18796611	2.1668	2.9445	3.6255	1.2773	-2.591	0.889	-0.536	-1.866	-2.565	-3.193	-4.099	-4.837	-4.929	-0.25740171
	9.00	2.18813467	2.1662	3.0116	3.6194	1.1856	-2.759	0.909	-0.600	-1.971	-2.694	-3.339	-4.276	-5.042	-5.139	-0.25737495
	9.00	2.18830991	2.1653	3.0756	3.6146	1.1023	-2.919	0.896	-0.676	-2.081	-2.822	-3.482	-4.443	-5.231	-5.332	-0.25734712
	9.00	2.18849158	2.1640	3.1490	3.6091	1.0068	-3.103	0.873	-0.763	-2.207	-2.969	-3.647	-4.634	-5.449	-5.553	-0.25731828
	9.00	2.18862653	2.1624	3.3767	3.5902	0.7029	-3.672	0.717	-1.051	-2.579	-3.415	-4.204	-5.256	-6.117	-6.248	-0.25729686
	9.00	2.18865347	2.1618	3.4085	3.5875	0.6602	-3.751	0.684	-1.096	-2.631	-3.476	-4.285	-5.343	-6.211	-6.345	-0.25729259
	9.00	2.18866444	2.1615	3.4208	3.5863	0.6431	-3.782	0.674	-1.112	-2.649	-3.498	-4.316	-5.376	-6.247	-6.383	-0.25729085
	9.00	2.18867540	2.1612	3.4329	3.5851	0.6262	-3.812	0.663	-1.127	-2.667	-3.521	-4.347	-5.409	-6.284	-6.421	-0.25728911
	9.00	2.18868637	2.1609	3.4421	3.5841	0.6129	-3.835	0.657	-1.137	-2.680	-3.536	-4.371	-5.435	-6.312	-6.450	-0.25728737
	9.00	2.18869734	2.1606	3.4460	3.5837	0.6074	-3.845	0.654	-1.142	-2.685	-3.543	-4.381	-5.445	-6.324	-6.463	-0.25728563
	9.00	2.18870831	2.1603	3.4493	3.5834	0.6027	-3.853	0.651	-1.146	-2.690	-3.550	-4.389	-5.455	-6.334	-6.473	-0.25728389
	9.00	2.18871927	2.1600	3.4527	3.5830	0.5979	-3.862	0.648	-1.151	-2.695	-3.556	-4.398	-5.464	-6.344	-6.484	-0.25728214
	9.00	2.18873000	2.1597	3.4560	3.5827	0.5932	-3.870	0.644	-1.155	-2.700	-3.562	-4.406	-5.473	-6.354	-6.494	-0.25728044
	9.00	2.18874049	2.1594	3.4593	3.5824	0.5887	-3.878	0.642	-1.159	-2.705	-3.568	-4.415	-5.482	-6.364	-6.504	-0.25727878
	9.00	2.18875098	2.1590	3.4625	3.5821	0.5841	-3.886	0.638	-1.164	-2.710	-3.574	-4.423	-5.490	-6.374	-6.514	-0.25727711
	9.00	2.18876171	2.1587	3.4658	3.5818	0.5795	-3.895	0.635	-1.168	-2.715	-3.580	-4.431	-5.499	-6.383	-6.525	-0.25727541
	9.00	2.18877220	2.1584	3.4691	3.5815	0.5749	-3.903	0.632	-1.172	-2.720	-3.586	-4.440	-5.508	-6.393	-6.535	-0.25727375
	9.00	2.18878055	2.1581	3.4717	3.5812	0.5712	-3.909	0.630	-1.175	-2.724	-3.590	-4.446	-5.515	-6.401	-6.543	-0.25727242
	9.00	2.18879104	2.1578	3.4749	3.5809	0.5666	-3.917	0.627	-1.180	-2.729	-3.596	-4.455	-5.524	-6.411	-6.553	-0.25727076
	9.00	2.18879938	2.1575	3.4776	3.5806	0.5629	-3.924	0.624	-1.183	-2.733	-3.601	-4.461	-5.531	-6.419	-6.561	-0.25726943
	9.00	2.18881011	2.1572	3.4809	3.5803	0.5583	-3.932	0.621	-1.187	-2.737	-3.607	-4.470	-5.540	-6.429	-6.572	-0.25726773
	9.00	2.18881845	2.1569	3.4835	3.5801	0.5546	-3.939	0.619	-1.191	-2.741	-3.612	-4.476	-5.547	-6.436	-6.580	-0.25726641
	9.00	2.18882871	2.1566	3.4867	3.5797	0.5501	-3.947	0.616	-1.195	-2.746	-3.617	-4.484	-5.556	-6.446	-6.590	-0.25726478
	9.00	2.18883681	2.1563	3.4892	3.5795	0.5465	-3.953	0.613	-1.198	-2.750	-3.622	-4.491	-5.563	-6.454	-6.598	-0.25726349
	9.00	2.18884468	2.1560	3.4917	3.5792	0.5429	-3.959	0.611	-1.202	-2.754	-3.627	-4.497	-5.570	-6.461	-6.606	-0.25726225
	9.00	2.18886113	2.1555	3.4964	3.5788	0.5364	-3.971	0.607	-1.208	-2.761	-3.635	-4.509	-5.582	-6.475	-6.620	-0.25725963
	9.00	2.18890238	2.1540	3.5074	3.5777	0.5208	-3.998	0.596	-1.223	-2.777	-3.655	-4.537	-5.612	-6.508	-6.654	-0.25725309
	9.00	2.18894315	2.1525	3.5183	3.5767	0.5053	-4.026	0.585	-1.237	-2.793	-3.675	-4.565	-5.641	-6.542	-6.689	-0.25724662
	9.00	2.18898392	2.1510	3.5293	3.5756	0.4897	-4.053	0.574	-1.252	-2.810	-3.695	-4.593	-5.670	-6.575	-6.723	-0.25724015
	9.00	2.18902445	2.1493	3.5402	3.5745	0.4742	-4.081	0.563	-1.267	-2.826	-3.714	-4.620	-5.700	-6.608	-6.757	-0.25723372
	9.00	2.18906450	2.1477	3.5512	3.5735	0.4586	-4.108	0.556	-1.275	-2.835	-3.729	-4.646	-5.728	-6.635	-6.790	-0.25722737
	9.00	2.18910456	2.1459	3.5621	3.5724	0.4431	-4.135	0.554	-1.276	-2.838	-3.738	-4.670	-5.757	-6.657	-6.821	-0.25722102
	9.00	2.18914413	2.1441	3.5731	3.5713	0.4275	-4.163	0.552	-1.278	-2.840	-3.747	-4.694	-5.785	-6.678	-6.852	-0.25721474
	9.00	2.18918371	2.1422	3.5840	3.5703	0.4119	-4.190	0.550	-1.279	-2.843	-3.757	-4.718	-5.814	-6.700	-6.884	-0.25720846
	9.00	2.18922281	2.1402	3.5949	3.5692	0.3964	-4.217	0.548	-1.281	-2.845	-3.766	-4.741	-5.842	-6.722	-6.915	-0.25720226
	9.00	2.18926191	2.1382	3.6058	3.5681	0.3808	-4.245	0.546	-1.282	-2.848	-3.775	-4.765	-5.870	-6.743	-6.946	-0.25719606
	9.00	2.18930078	2.1360	3.6167	3.5671	0.3652	-4.272	0.544	-1.283	-2.850	-3.784	-4.789	-5.899	-6.765	-6.977	-0.25718989
	9.00	2.18933916	2.1338	3.6276	3.5660	0.3496	-4.299	0.542	-1.285	-2.853	-3.793	-4.812	-5.927	-6.786	-7.008	-0.25718381
	9.00	2.18937731	2.1315	3.6385	3.5649	0.3339	-4.326	0.539	-1.286	-2.855	-3.802	-4.836	-5.955	-6.808	-7.040	-0.25717776
	9.00	2.18941545	2.1291	3.6494	3.5639	0.3183	-4.354	0.537	-1.287	-2.858	-3.812	-4.860	-5.984	-6.830	-7.071	-0.25717171
	9.00	2.18945336	2.1267	3.6603	3.5628	0.3026	-4.381	0.535	-1.289	-2.860	-3.821	-4.884	-6.012	-6.851	-7.102	-0.25716570
	9.00	2.18949080	2.1241	3.6712	3.5618	0.2870	-4.408	0.533	-1.290	-2.862	-3.830	-4.907	-6.040	-6.873	-7.133	-0.25715976
	9.00	2.18952823	2.1214	3.6822	3.5607	0.2712	-4.435	0.530	-1.292	-2.865	-3.839	-4.931	-6.069	-6.894	-7.164	-0.25715383
	9.00	2.18956518	2.1187	3.6930	3.5596	0.2556	-4.463	0.528	-1.293	-2.867	-3.848	-4.955	-6.097	-6.916	-7.195	-0.25714797
	9.00	2.18960214	2.1158	3.7039	3.5586	0.2398	-4.490	0.525	-1.294	-2.870	-3.857	-4.978	-6.125	-6.937	-7.226	-0.25714211
	9.00	2.18963885	2.1128	3.7148	3.5575	0.2241	-4.517	0.523	-1.295	-2.872	-3.866	-5.002	-6.153	-6.959	-7.257	-0.25713629
	9.00	2.18967509	2.1097	3.7257	3.5564	0.2083	-4.544	0.521	-1.297	-2.874	-3.876	-5.026	-6.182	-6.980	-7.289	-0.25713054
	9.00	2.18971133	2.1064	3.7365	3.5554	0.1925	-4.571	0.518	-1.298	-2.877	-3.885	-5.049	-6.210	-7.002	-7.320	-0.25712480
	9.00	2.18974733	2.1031	3.7474	3.5543	0.1767	-4.598	0.515	-1.299	-2.879	-3.894	-5.073	-6.238	-7.023	-7.351	-0.25711909
	9.00	2.18978310	2.0996	3.7583	3.5532	0.1608	-4.626	0.513	-1.301	-2.881	-3.903	-5.096	-6.266	-7.045	-7.382	-0.25711342
