log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	Mbol 	Mu 	Mb 	Mv 	Mr 	Mi 	Mj 	Mh 	Mk 	Flum
	7.00	16.19344521	16.0615	4.6546	4.4519	3.7428	-6.866	-5.391	-4.369	-4.099	-3.979	-3.813	-3.439	-3.324	-3.223	-0.01726069
	7.00	16.89608383	16.7219	4.7296	4.4442	3.6546	-7.054	-5.617	-4.599	-4.331	-4.211	-4.049	-3.677	-3.565	-3.465	-0.01629878
	7.00	17.52454948	17.2838	4.7966	4.4324	3.5546	-7.221	-5.830	-4.822	-4.561	-4.441	-4.281	-3.919	-3.809	-3.709	-0.01551469
	7.00	18.08277130	17.7816	4.8562	4.4169	3.4452	-7.371	-6.053	-5.055	-4.797	-4.687	-4.528	-4.176	-4.067	-3.974	-0.01487163
	7.00	18.33796310	18.0063	4.8840	4.4078	3.3867	-7.440	-6.167	-5.173	-4.921	-4.813	-4.658	-4.310	-4.206	-4.111	-0.01459292
	7.00	18.57747650	18.2100	4.9105	4.3992	3.3306	-7.506	-6.273	-5.284	-5.037	-4.931	-4.780	-4.436	-4.336	-4.239	-0.01433950
	7.00	18.81946182	18.4142	4.9384	4.3923	3.2800	-7.576	-6.372	-5.389	-5.145	-5.041	-4.893	-4.551	-4.451	-4.358	-0.01409115
	7.00	18.84420967	18.4350	4.9417	4.3930	3.2798	-7.584	-6.378	-5.394	-5.150	-5.046	-4.897	-4.556	-4.456	-4.362	-0.01406618
	7.00	18.91919518	18.4980	4.9526	4.3976	3.2891	-7.611	-6.390	-5.400	-5.154	-5.049	-4.899	-4.555	-4.455	-4.359	-0.01399096
	7.00	18.97039795	18.5409	4.9641	4.4092	3.3249	-7.640	-6.374	-5.371	-5.121	-5.014	-4.860	-4.510	-4.406	-4.311	-0.01394001
	7.00	18.98504829	18.5532	4.9752	4.4212	3.3619	-7.668	-6.342	-5.334	-5.077	-4.965	-4.807	-4.451	-4.343	-4.248	-0.01392549
	7.00	18.99397087	18.5606	4.9989	4.4403	3.4149	-7.727	-6.324	-5.302	-5.037	-4.917	-4.757	-4.385	-4.275	-4.175	-0.01391666
	7.00	18.99576187	18.5621	5.0034	4.4446	3.4277	-7.738	-6.324	-5.297	-5.029	-4.909	-4.749	-4.372	-4.262	-4.162	-0.01391489
	7.00	19.00237465	18.5676	4.9968	4.4103	3.2971	-7.722	-6.458	-5.450	-5.200	-5.094	-4.940	-4.589	-4.484	-4.390	-0.01390835
	7.00	19.00593758	18.5706	5.0040	4.3694	3.1263	-7.740	-6.634	-5.675	-5.439	-5.343	-5.202	-4.869	-4.775	-4.685	-0.01390483
	7.00	19.00831413	18.5726	5.0086	4.3349	2.9838	-7.751	-6.776	-5.861	-5.641	-5.551	-5.421	-5.108	-5.018	-4.931	-0.01390248
	7.00	19.01086044	18.5747	5.0116	4.2902	2.8020	-7.759	-6.949	-6.095	-5.892	-5.814	-5.694	-5.409	-5.329	-5.254	-0.01389997
	7.00	19.01323891	18.5767	5.0123	4.2393	2.5977	-7.761	-7.164	-6.368	-6.185	-6.120	-6.024	-5.769	-5.699	-5.638	-0.01389762
	7.00	19.01493835	18.5781	5.0122	4.1948	2.4201	-7.760	-7.310	-6.596	-6.433	-6.376	-6.300	-6.076	-6.019	-5.959	-0.01389595
	7.00	19.01646614	18.5794	5.0126	4.1477	2.2314	-7.761	-7.486	-6.822	-6.691	-6.656	-6.600	-6.409	-6.369	-6.318	-0.01389444
	7.00	19.01799774	18.5806	5.0141	4.0934	2.0125	-7.765	-7.623	-7.123	-7.005	-6.977	-6.937	-6.789	-6.761	-6.721	-0.01389293
	7.00	19.01952553	18.5819	5.0161	4.0341	1.7736	-7.770	-7.758	-7.404	-7.321	-7.308	-7.295	-7.198	-7.192	-7.162	-0.01389142
	7.00	19.02105713	18.5832	5.0171	3.9716	1.5223	-7.773	-7.833	-7.660	-7.610	-7.620	-7.635	-7.616	-7.626	-7.611	-0.01388991
	7.00	19.02224731	18.5842	5.0177	3.9225	1.3256	-7.774	-7.833	-7.751	-7.768	-7.811	-7.871	-7.911	-7.956	-7.949	-0.01388874
	7.00	19.02270889	18.5846	5.0165	3.9047	1.2555	-7.771	-7.781	-7.787	-7.821	-7.866	-7.940	-8.016	-8.070	-8.074	-0.01388828
	7.00	19.02317047	18.5850	5.0153	3.8867	1.1845	-7.768	-7.716	-7.797	-7.851	-7.914	-8.007	-8.117	-8.189	-8.199	-0.01388783
	7.00	19.02371025	18.5854	5.0138	3.8658	1.1028	-7.764	-7.620	-7.766	-7.864	-7.957	-8.076	-8.237	-8.330	-8.347	-0.01388730
	7.00	19.02424812	18.5859	5.0105	3.8465	1.0288	-7.756	-7.495	-7.691	-7.856	-7.984	-8.141	-8.347	-8.465	-8.485	-0.01388677
	7.00	19.02470970	18.5862	5.0066	3.8301	0.9671	-7.746	-7.396	-7.613	-7.838	-8.004	-8.192	-8.429	-8.577	-8.606	-0.01388631
	7.00	19.02524757	18.5867	5.0004	3.8113	0.8979	-7.731	-7.231	-7.478	-7.801	-8.014	-8.237	-8.519	-8.708	-8.739	-0.01388578
	7.00	19.02578735	18.5871	4.9871	3.7884	0.8195	-7.698	-7.003	-7.292	-7.736	-8.011	-8.276	-8.614	-8.847	-8.887	-0.01388525
	7.00	19.02609444	18.5874	4.9838	3.7763	0.7748	-7.689	-6.879	-7.193	-7.704	-8.009	-8.299	-8.669	-8.927	-8.969	-0.01388495
	7.00	19.02632523	18.5876	4.9806	3.7671	0.7410	-7.681	-6.770	-7.099	-7.672	-8.008	-8.320	-8.712	-8.988	-9.037	-0.01388472
	7.00	19.02663231	18.5879	4.9759	3.7560	0.7011	-7.670	-6.628	-6.983	-7.628	-7.998	-8.336	-8.757	-9.055	-9.110	-0.01388442
	7.00	19.02701759	18.5882	4.9701	3.7420	0.6511	-7.655	-6.431	-6.829	-7.569	-7.980	-8.348	-8.803	-9.126	-9.185	-0.01388404
	7.00	19.02740288	18.5885	4.9635	3.7280	0.6019	-7.639	-6.182	-6.679	-7.506	-7.954	-8.350	-8.851	-9.211	-9.271	-0.01388366
	7.00	19.02801895	18.5890	4.9545	3.7070	0.5268	-7.616	-5.764	-6.441	-7.400	-7.901	-8.342	-8.915	-9.333	-9.399	-0.01388305
	7.00	19.02894020	18.5898	4.9437	3.6725	0.3996	-7.589	-4.958	-6.018	-7.196	-7.787	-8.302	-9.013	-9.544	-9.609	-0.01388214
	7.00	19.02917099	18.5900	4.9388	3.6649	0.3739	-7.577	-4.743	-5.906	-7.132	-7.741	-8.276	-9.021	-9.577	-9.648	-0.01388192
	7.00	19.02932358	18.5901	4.9334	3.6578	0.3511	-7.564	-4.543	-5.802	-7.072	-7.697	-8.249	-9.027	-9.605	-9.682	-0.01388177
	7.00	19.02955437	18.5903	4.9243	3.6486	0.3234	-7.541	-4.275	-5.658	-6.983	-7.634	-8.207	-9.028	-9.638	-9.721	-0.01388154
	7.00	19.02978516	18.5905	4.9157	3.6423	0.3066	-7.519	-4.087	-5.551	-6.912	-7.583	-8.171	-9.021	-9.656	-9.742	-0.01388131
	7.00	19.02993965	18.5906	4.9090	3.6389	0.2997	-7.503	-3.981	-5.489	-6.869	-7.550	-8.147	-9.012	-9.661	-9.749	-0.01388116
	7.00	19.03029633	18.5909	4.9421	3.6316	0.2376	-7.585	-3.857	-5.466	-6.893	-7.598	-8.215	-9.113	-9.788	-9.881	-0.01388081
	7.00	19.03047562	18.5911	4.9670	3.6297	0.2053	-7.648	-3.859	-5.498	-6.939	-7.650	-8.274	-9.180	-9.861	-9.956	-0.01388063
	7.00	19.03128242	18.5918	4.9821	3.6278	0.1825	-7.685	-3.841	-5.506	-6.961	-7.678	-8.307	-9.222	-9.910	-10.007	-0.01387984
	7.00	19.04958344	18.6072	5.0152	3.6202	0.1193	-7.768	-3.777	-5.482	-6.965	-7.712	-8.367	-9.318	-10.035	-10.142	-0.01386184
	7.00	19.06468010	18.6199	5.0140	3.6234	0.1336	-7.765	-3.831	-5.521	-6.994	-7.729	-8.374	-9.309	-10.014	-10.117	-0.01384702
	7.00	19.09245872	18.6433	5.0217	3.6287	0.1477	-7.784	-3.948	-5.610	-7.066	-7.781	-8.410	-9.320	-10.003	-10.099	-0.01381983
	7.00	19.10000801	18.6497	5.0257	3.6302	0.1498	-7.794	-3.996	-5.641	-7.088	-7.798	-8.423	-9.327	-10.004	-10.099	-0.01381246
	7.00	19.10924911	18.6575	5.0385	3.6336	0.1508	-7.826	-4.114	-5.718	-7.146	-7.847	-8.464	-9.351	-10.015	-10.108	-0.01380344
	7.00	19.11059952	18.6586	5.0476	3.6362	0.1520	-7.849	-4.202	-5.776	-7.190	-7.883	-8.493	-9.369	-10.022	-10.113	-0.01380212
	7.00	19.11102104	18.6590	5.0517	3.6387	0.1578	-7.859	-4.276	-5.820	-7.219	-7.905	-8.508	-9.373	-10.017	-10.107	-0.01380171
	7.00	19.11148453	18.6594	5.0564	3.6440	0.1743	-7.871	-4.428	-5.905	-7.273	-7.943	-8.532	-9.373	-9.996	-10.082	-0.01380126
	7.00	19.11190605	18.6597	5.0601	3.6535	0.2089	-7.880	-4.691	-6.046	-7.358	-7.998	-8.563	-9.360	-9.947	-10.027	-0.01380085
	7.00	19.11236954	18.6601	5.0605	3.6640	0.2503	-7.881	-4.975	-6.181	-7.427	-8.042	-8.582	-9.332	-9.885	-9.958	-0.01380040
	7.00	19.11279106	18.6605	5.0610	3.6731	0.2864	-7.882	-5.223	-6.300	-7.489	-8.082	-8.599	-9.307	-9.832	-9.898	-0.01379999
	7.00	19.11367607	18.6612	5.0617	3.6872	0.3420	-7.884	-5.571	-6.476	-7.572	-8.127	-8.614	-9.260	-9.739	-9.803	-0.01379912
	7.00	19.11544228	18.6627	5.0617	3.7032	0.4060	-7.884	-5.930	-6.661	-7.652	-8.164	-8.616	-9.200	-9.626	-9.693	-0.01379740
	7.00	19.11855125	18.6649	5.0619	3.7163	0.4585	-7.885	-6.196	-6.804	-7.710	-8.189	-8.608	-9.149	-9.538	-9.601	-0.01379437
	7.00	19.12182045	18.6672	5.0630	3.7237	0.4871	-7.888	-6.339	-6.883	-7.741	-8.202	-8.604	-9.121	-9.489	-9.549	-0.01379119
	7.00	19.12495422	18.6694	5.0648	3.7286	0.5046	-7.892	-6.429	-6.934	-7.762	-8.211	-8.603	-9.103	-9.458	-9.518	-0.01378814
	7.00	19.13132858	18.6739	5.0693	3.7362	0.5308	-7.903	-6.573	-7.018	-7.799	-8.228	-8.606	-9.080	-9.412	-9.472	-0.01378194
	7.00	19.13833427	18.6788	5.0777	3.7483	0.5707	-7.924	-6.768	-7.164	-7.861	-8.253	-8.604	-9.046	-9.356	-9.412	-0.01377513
	7.00	19.15035057	18.6872	5.0997	3.7893	0.7130	-7.979	-7.290	-7.586	-8.022	-8.294	-8.556	-8.889	-9.118	-9.158	-0.01376346
	7.00	19.21705627	18.7332	5.0995	4.0574	1.7865	-7.979	-7.914	-7.515	-7.417	-7.397	-7.369	-7.252	-7.234	-7.204	-0.01369900
	7.00	19.52361107	18.9128	5.1241	3.9080	1.1688	-8.040	-8.064	-8.037	-8.077	-8.125	-8.198	-8.263	-8.317	-8.318	-0.01340942
	7.00	19.68980026	18.9978	5.1241	3.7402	0.4994	-8.040	-6.773	-7.193	-7.951	-8.370	-8.740	-9.199	-9.519	-9.579	-0.01325685
	7.00	19.80438232	19.0336	5.1149	3.6544	0.1663	-8.017	-4.833	-6.188	-7.499	-8.140	-8.703	-9.497	-10.079	-10.158	-0.01315341
	7.00	19.89082146	19.0589	5.1242	3.6404	0.1016	-8.040	-4.479	-6.015	-7.413	-8.095	-8.696	-9.553	-10.187	-10.276	-0.01307631
	7.00	19.96126366	19.0786	5.1317	3.6293	0.0498	-8.059	-4.200	-5.875	-7.341	-8.057	-8.690	-9.596	-10.273	-10.371	-0.01301405
	7.00	20.00000000	19.0890	5.1348	3.6227	0.0209	-8.067	-4.084	-5.797	-7.285	-8.025	-8.678	-9.615	-10.318	-10.423	-0.01298003
	7.00	20.17308426	19.1472	5.1455	3.6127	-0.0285	-8.094	-3.955	-5.702	-7.211	-7.990	-8.671	-9.657	-10.402	-10.519	-0.01282991
	7.00	20.18012238	19.1498	5.2055	3.6091	-0.1030	-8.244	-4.050	-5.808	-7.324	-8.117	-8.808	-9.813	-10.573	-10.695	-0.01282387
	7.00	20.19108391	19.1589	5.2421	3.6044	-0.1582	-8.335	-4.071	-5.844	-7.369	-8.180	-8.884	-9.912	-10.692	-10.819	-0.01281447
